expected,estimated,time
,,
146.832384,145,0.00999999
,,
146.832384,145,0.013999939
,,
146.832384,145,0.009000063
,,
146.832384,145,0.009000063
,,
155.5634919,155,0.008000135
,,
155.5634919,155,0.00999999
,,
155.5634919,155,0.00999999
,,
155.5634919,155,0.00999999
,,
155.5634919,155,0.009000063
,,
164.8137785,163,0.009000063
,,
164.8137785,163,0.009000063
,,
164.8137785,163,0.008999825
,,
164.8137785,163,0.009000063
,,
164.8137785,163,0.008999825
,,
174.6141157,173,0.00999999
,,
174.6141157,173,0.010999918
,,
174.6141157,173,0.009000063
,,
174.6141157,173,0.009000063
,,
174.6141157,173,0.008999825
,,
184.9972114,183,0.00999999
,,
184.9972114,183,0.011000156
,,
184.9972114,183,0.00999999
,,
184.9972114,183,0.009000063
,,
184.9972114,183,0.008999825
,,
195.997718,195,0.012000084
,,
195.997718,195,0.009000063
,,
195.997718,195,0.008999825
,,
195.997718,195,0.007999897
,,
195.997718,195,0.009000063
,,
207.6523488,200,0.008999825
,,
207.6523488,200,0.00999999
,,
207.6523488,200,0.008999825
,,
207.6523488,200,0.00999999
,,
207.6523488,200,0.008999825
,,
220,200,0.009000063
,,
220,200,0.007999897
,,
220,145,0.009000063
,,
220,200,0.00999999
,,
220,200,0.010000229
,,
233.0818808,115,0.00999999
,,
233.0818808,155,0.00999999
,,
233.0818808,115,0.00999999
,,
233.0818808,115,0.00999999
,,
233.0818808,115,0.008999825
,,
246.9416506,123,0.008999825
,,
246.9416506,123,0.00999999
,,
246.9416506,123,0.00999999
,,
246.9416506,123,0.00999999
,,
246.9416506,123,0.00999999
,,
261.6255653,130,0.009000063
,,
261.6255653,173,0.008999825
,,
261.6255653,130,0.009000063
,,
261.6255653,130,0.00999999
,,
261.6255653,130,0.012000084
,,
277.182631,137,0.009000063
,,
277.182631,183,0.008999825
,,
277.182631,183,0.009000063
,,
277.182631,183,0.009000063
,,
277.182631,183,0.00999999
,,
293.6647679,145,0.013999939
,,
293.6647679,145,0.011000156
,,
293.6647679,145,0.00999999
,,
293.6647679,145,0.009000063
,,
293.6647679,145,0.009000063
,,
311.1269837,153,0.009000063
,,
311.1269837,155,0.010000229
,,
311.1269837,155,0.00999999
,,
311.1269837,155,0.009000063
,,
311.1269837,155,0.00999999
,,
329.6275569,163,0.009000063
,,
329.6275569,163,0.00999999
,,
329.6275569,163,0.012000084
,,
329.6275569,163,0.00999999
,,
329.6275569,163,0.008999825
,,
349.2282314,173,0.008999825
,,
349.2282314,173,0.009000063
,,
349.2282314,173,0.011999846
,,
349.2282314,173,0.009000063
,,
349.2282314,173,0.009000063
,,
369.9944227,183,0.013000011
,,
369.9944227,183,0.009000063
,,
369.9944227,183,0.009000063
,,
369.9944227,183,0.009000063
,,
369.9944227,183,0.009000063
,,
391.995436,195,0.008999825
,,
391.995436,195,0.008999825
,,
391.995436,195,0.013000011
,,
391.995436,195,0.012000084
,,
391.995436,195,0.00999999
,,
415.3046976,200,0.00999999
,,
415.3046976,200,0.00999999
,,
415.3046976,200,0.008999825
,,
415.3046976,200,0.008000135
,,
415.3046976,200,0.009000063
,,
440,200,0.00999999
,,
440,200,0.009000063
,,
440,145,0.009000063
,,
440,145,0.009000063
,,
440,145,0.008999825
,,
466.1637615,153,0.015999794
,,
466.1637615,153,0.00999999
,,
466.1637615,153,0.008000135
,,
466.1637615,153,0.008000135
,,
466.1637615,153,0.00999999
,,
493.8833013,163,0.010999918
,,
493.8833013,163,0.010999918
,,
493.8833013,163,0.00999999
,,
493.8833013,163,0.009000063
,,
493.8833013,163,0.00999999
,,
523.2511306,173,0.00999999
,,
523.2511306,173,0.00999999
,,
523.2511306,173,0.00999999
,,
523.2511306,173,0.009000063
,,
523.2511306,173,0.007999897
,,
554.365262,183,0.009000063
,,
554.365262,183,0.00999999
,,
554.365262,183,0.009000063
,,
554.365262,183,0.009000063
,,
554.365262,183,0.00999999
,,
587.3295358,195,0.013000011
,,
587.3295358,195,0.009000063
,,
587.3295358,195,0.00999999
,,
587.3295358,195,0.00999999
,,
587.3295358,195,0.009000063
,,
622.2539674,200,0.009000063
,,
622.2539674,200,0.009000063
,,
622.2539674,200,0.009000063
,,
622.2539674,200,0.009000063
,,
622.2539674,200,0.00999999
,,
659.2551138,163,0.00999999
,,
659.2551138,163,0.00999999
,,
659.2551138,163,0.012000084
,,
659.2551138,163,0.00999999
,,
659.2551138,163,0.00999999
,,
698.4564629,173,0.009000063
,,
698.4564629,173,0.008999825
,,
698.4564629,173,0.008999825
,,
698.4564629,173,0.012000084
,,
698.4564629,173,0.008999825
,,
739.9888454,183,0.007999897
,,
739.9888454,183,0.014999866
,,
739.9888454,183,0.009000063
,,
739.9888454,183,0.009000063
,,
739.9888454,183,0.008999825
,,
783.990872,195,0.009000063
,,
783.990872,195,0.011000156
,,
783.990872,195,0.009000063
,,
783.990872,195,0.009000063
,,
783.990872,195,0.008000135
,,
830.6093952,200,0.011999846
,,
830.6093952,200,0.008999825
,,
830.6093952,200,0.009000063
,,
830.6093952,200,0.011999846
,,
830.6093952,200,0.009000063
,,
880,173,0.009000063
,,
880,173,0.00999999
,,
880,173,0.00999999
,,
880,173,0.009000063
,,
880,173,0.009000063
,,
932.327523,186,0.009000063
,,
932.327523,186,0.00999999
,,
932.327523,186,0.016000032
,,
932.327523,186,0.00999999
,,
932.327523,186,0.00999999
,,
987.7666025,195,0.009000063
,,
987.7666025,195,0.011000156
,,
987.7666025,195,0.013000011
,,
987.7666025,195,0.008999825
,,
987.7666025,195,0.00999999
,,
1046.502261,200,0.008000135
,,
1046.502261,200,0.010999918
,,
1046.502261,200,0.009000063
,,
1046.502261,200,0.008999825
,,
1046.502261,200,0.009000063
,,
1108.730524,183,0.00999999
,,
1108.730524,183,0.016000032
,,
1108.730524,183,0.011000156
,,
1108.730524,183,0.00999999
,,
1108.730524,183,0.009000063
,,
1174.659072,195,0.00999999
,,
1174.659072,195,0.00999999
,,
1174.659072,195,0.009000063
,,
1174.659072,195,0.009000063
,,
1174.659072,195,0.009000063
,,
1244.507935,200,0.00999999
,,
1244.507935,200,0.00999999
,,
1244.507935,200,0.009000063
,,
1244.507935,200,0.008999825
,,
1244.507935,200,0.008999825
,,
1318.510228,186,0.010999918
,,
1318.510228,186,0.009000063
,,
1318.510228,186,0.012000084
,,
1318.510228,186,0.00999999
,,
1318.510228,186,0.008999825
,,
1396.912926,197,0.007999897
,,
1396.912926,197,0.00999999
,,
1396.912926,197,0.009000063
,,
1396.912926,197,0.00999999
,,
1396.912926,197,0.009000063
,,
1479.977691,183,0.00999999
,,
1479.977691,183,0.00999999
,,
1479.977691,183,0.009000063
,,
1479.977691,183,0.009000063
,,
1479.977691,183,0.00999999
,,
1567.981744,195,0.008999825
,,
1567.981744,195,0.00999999
,,
1567.981744,195,0.00999999
,,
27.5,70,0.011000156
,,
27.5,70,0.012000084
,,
27.5,70,0.00999999
,,
27.5,70,0.00999999
,,
27.5,82,0.010999918
,,
29.13523509,70,0.00999999
,,
29.13523509,70,0.00999999
,,
29.13523509,70,0.011999846
,,
29.13523509,77,0.00999999
,,
29.13523509,86,0.00999999
,,
30.86770633,70,0.011000156
,,
30.86770633,70,0.011000156
,,
30.86770633,70,0.011000156
,,
30.86770633,85,0.010999918
,,
30.86770633,92,0.009000063
,,
32.70319566,70,0.012000084
,,
32.70319566,70,0.00999999
,,
32.70319566,70,0.011000156
,,
32.70319566,88,0.010999918
,,
32.70319566,96,0.00999999
,,
34.64782887,70,0.010999918
,,
34.64782887,70,0.011000156
,,
34.64782887,90,0.011000156
,,
34.64782887,101,0.00999999
,,
36.70809599,74,0.012000084
,,
36.70809599,74,0.010999918
,,
36.70809599,91,0.012000084
,,
36.70809599,100,0.010999918
,,
38.89087297,78,0.011000156
,,
38.89087297,79,0.010999918
,,
38.89087297,95,0.00999999
,,
38.89087297,101,0.015000105
,,
41.20344461,84,0.010999918
,,
41.20344461,83,0.011000156
,,
41.20344461,100,0.010999918
,,
41.20344461,115,0.00999999
,,
43.65352893,89,0.011000156
,,
43.65352893,88,0.00999999
,,
43.65352893,78,0.00999999
,,
43.65352893,115,0.011000156
,,
46.24930284,94,0.010999918
,,
46.24930284,100,0.00999999
,,
46.24930284,113,0.010999918
,,
48.9994295,96,0.010999918
,,
48.9994295,100,0.011000156
,,
48.9994295,119,0.011000156
,,
51.9130872,103,0.011000156
,,
51.9130872,105,0.00999999
,,
51.9130872,123,0.010999918
,,
55,111,0.014000177
,,
55,111,0.00999999
,,
55,111,0.010999918
,,
55,120,0.015000105
,,
58.27047019,70,0.010999918
,,
58.27047019,115,0.00999999
,,
58.27047019,115,0.011999846
,,
58.27047019,108,0.010000229
,,
61.73541266,70,0.00999999
,,
61.73541266,70,0.010999918
,,
61.73541266,70,0.019999981
,,
61.73541266,130,0.008999825
,,
61.73541266,148,0.011999846
,,
65.40639133,70,0.00999999
,,
65.40639133,70,0.00999999
,,
65.40639133,70,0.010999918
,,
65.40639133,137,0.009000063
,,
65.40639133,164,0.008999825
,,
69.29565774,70,0.012000084
,,
69.29565774,70,0.019999981
,,
69.29565774,70,0.00999999
,,
69.29565774,70,0.011999846
,,
69.29565774,179,0.009000063
,,
73.41619198,74,0.012000084
,,
73.41619198,73,0.010999918
,,
73.41619198,73,0.010999918
,,
73.41619198,73,0.010999918
,,
73.41619198,73,0.00999999
,,
77.78174593,78,0.010999918
,,
77.78174593,78,0.010999918
,,
77.78174593,78,0.00999999
,,
77.78174593,78,0.00999999
,,
