expected,actual,time
164.8137785,491,0.002179384
,,
164.8137785,163,0.003958941
,,
174.6141157,348,0.003143549
,,
174.6141157,174,0.002091646
,,
174.6141157,521,0.00398922
,,
174.6141157,868,0.001994371
,,
174.6141157,695,0.00296402
,,
184.9972114,184,0.002992868
,,
184.9972114,551,0.002992153
,,
184.9972114,184,0.002988815
,,
184.9972114,368,0.002993345
,,
184.9972114,552,0.005155563
,,
195.997718,389,0.002991915
,,
195.997718,585,0.002991676
,,
195.997718,585,0.002000093
,,
195.997718,389,0.003108978
,,
195.997718,390,0.002022982
,,
207.6523488,413,0.002991438
,,
207.6523488,620,0.003221989
,,
207.6523488,827,0.001995325
,,
207.6523488,620,0.002991438
,,
207.6523488,413,0.002991438
,,
220,219,0.002993345
,,
220,438,0.003165007
,,
220,438,0.003025532
,,
220,438,0.002992153
,,
220,657,0.002991915
,,
233.0818808,231,0.003092051
,,
233.0818808,231,0.003080606
,,
233.0818808,696,0.004056931
,,
233.0818808,463,0.002966881
,,
233.0818808,695,0.003016949
,,
246.9416506,246,0.002111673
,,
246.9416506,491,0.003126144
,,
246.9416506,492,0.003020525
,,
246.9416506,736,0.003116131
,,
246.9416506,492,0.00199461
,,
261.6255653,259,0.002964973
,,
261.6255653,260,0.005984545
,,
261.6255653,519,0.003152132
,,
261.6255653,260,0.004016399
,,
261.6255653,520,0.003021002
,,
277.182631,276,0.002960443
,,
277.182631,275,0.002993345
,,
277.182631,826,0.00296545
,,
277.182631,826,0.001993179
,,
277.182631,275,0.002993822
,,
293.6647679,291,0.003156185
,,
293.6647679,583,0.002992392
,,
293.6647679,876,0.003989697
,,
293.6647679,876,0.002986908
,,
293.6647679,876,0.001994848
,,
311.1269837,310,0.002167463
,,
311.1269837,309,0.002963781
,,
311.1269837,309,0.004022598
,,
311.1269837,618,0.001971245
,,
311.1269837,619,0.00316143
,,
329.6275569,656,0.003213882
,,
329.6275569,656,0.002992153
,,
329.6275569,984,0.00311327
,,
329.6275569,328,0.003207445
,,
329.6275569,655,0.002963543
,,
349.2282314,347,0.003988028
,,
349.2282314,347,0.002994776
,,
349.2282314,694,0.00302124
,,
349.2282314,694,0.002992153
,,
349.2282314,347,0.003016949
,,
369.9944227,368,0.002153635
,,
369.9944227,736,0.002992392
,,
369.9944227,736,0.003989458
,,
369.9944227,367,0.002964973
,,
369.9944227,736,0.002232552
,,
391.995436,389,0.003143072
,,
391.995436,390,0.002994061
,,
391.995436,1169,0.003988981
,,
391.995436,779,0.002992153
,,
391.995436,389,0.002028227
,,
415.3046976,412,0.002991915
,,
415.3046976,826,0.002992153
,,
415.3046976,413,0.003148556
,,
415.3046976,413,0.002992868
,,
415.3046976,827,0.002989769
,,
440,437,0.004067898
,,
440,437,0.00301671
,,
440,437,0.002964973
,,
440,437,0.002038479
,,
440,875,0.003149986
,,
466.1637615,464,0.004088163
,,
466.1637615,926,0.002993584
,,
466.1637615,926,0.002147913
,,
466.1637615,927,0.001994371
,,
466.1637615,464,0.002993584
,,
493.8833013,491,0.002993107
,,
493.8833013,490,0.002990246
,,
493.8833013,982,0.002987385
,,
493.8833013,491,0.003018856
,,
493.8833013,982,0.002960205
,,
523.2511306,521,0.003952503
,,
523.2511306,520,0.003990173
,,
523.2511306,1039,0.003987789
,,
523.2511306,1039,0.003091574
,,
523.2511306,519,0.002990484
,,
554.365262,552,0.002991199
,,
554.365262,552,0.004986763
,,
554.365262,1101,0.003213167
,,
554.365262,1101,0.002992392
,,
554.365262,1101,0.002991199
,,
587.3295358,584,0.003020287
,,
587.3295358,582,0.003980637
,,
587.3295358,1166,0.002992868
,,
587.3295358,583,0.001993656
,,
587.3295358,584,0.002958775
,,
622.2539674,619,0.003152132
,,
622.2539674,617,0.002989531
,,
622.2539674,617,0.003168106
,,
622.2539674,617,0.002161503
,,
622.2539674,617,0.002992153
,,
659.2551138,655,0.002996206
,,
659.2551138,654,0.003164053
,,
659.2551138,655,0.00399518
,,
659.2551138,655,0.001994371
,,
659.2551138,665,0.003000259
,,
698.4564629,693,0.003020287
,,
698.4564629,694,0.00199461
,,
698.4564629,691,0.002991915
,,
698.4564629,693,0.002991676
,,
698.4564629,694,0.002997398
,,
739.9888454,733,0.002220869
,,
